name,license,windows,mac os,linux,market focus,general ledger,accounts receivble/accounts payable,double-entry bookkeeping system,multi-currency pricing,online banking,point of sale,e-commerce,stock option commodity trade,payroll,entreprise ressource planning,customer relationship management,business intelligence,human ressource management,manufacturing/bill of materials,supply chain management,inventory management,distribution/warehouse management system,multiuser,multico,tax form,structure,language
adempiere,gpl,yes,yes,yes,mid-market,yes,yes,yes,yes,*,yes,yes,*,yes,yes,yes,yes,yes,yes,yes,yes,yes,*,*,*,web based,java
apache ofbiz,apache,yes,yes,yes,low-market;mid-market,yes,yes,yes,yes,*,yes,yes,*,*,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,multi-user;web access;cloud hostable,java
compiere,gpl2,yes,yes,yes,mid-market,*,*,*,*,*,yes,*,*,*,yes,yes,*,*,yes,*,*,yes,*,*,*,web based,java ee
frontaccounting,gpl3,yes,yes,yes,low-market;mid-market,yes,yes,yes,yes,*,yes,*,*,*,yes,yes,*,*,yes,yes,yes,,yes,yes,*,web based,php
gnucash,gpl,yes,yes,yes,personal;low-market,yes,yes,yes,yes,yes,*,*,yes,*,*,*,*,*,*,*,*,*,*,*,*,stand alone,c;scheme
gnu enterprise,gpl,yes,yes,yes,mid-market;high-market,*,*,*,yes,*,*,yes,*,*,yes,yes,*,yes,*,yes,*,*,*,*,*,web based;stand alone,python
homebank,gpl,yes,yes,yes,personal,yes,*,no,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,stand alone,c
idempiere,gpl2,yes,yes,yes,mid-market,yes,yes,yes,yes,*,yes,yes,*,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,*,web based;client-server,java
jfire,gpl,yes,no,yes,personal;low-market;mid-market;high-market,*,*,yes,*,*,yes,*,*,*,yes,yes,*,*,*,*,*,yes,*,*,*,web based;stand alone,java
kmymoney,gpl,yes,yes,yes,personal,yes,*,yes,yes,yes,*,*,yes,*,*,*,*,*,*,*,*,*,*,*,*,stand alone,c++
ledgersmb,gpl,yes,yes,yes,mid-market,yes,yes,yes,yes,yes,yes,*,*,*,yes,yes,yes,*,yes,yes,yes,yes,yes,yes,yes,web based,perl
openbravo,mpl,yes,yes,yes,mid-market,yes,yes,yes,yes,*,yes,yes,*,yes,yes,yes,yes,yes,yes,*,yes,*,yes,yes,yes,web based;on-premise;saas;on demand,java
odoo,agpl,yes,yes,yes,low-market;mid-market,yes,yes,yes,yes,*,yes,yes,*,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,*,web based;client-server,python
postbooks,cpal,yes,yes,yes,low-market;mid-market,yes,yes,yes,yes,*,yes,yes,*,*,yes,yes,yes,*,yes,*,yes,yes,*,*,*,client-server,c++
sql-ledger,gpl,yes,yes,yes,mid-market,yes,yes,yes,yes,*,yes,*,*,*,yes,*,*,*,yes,*,yes,*,yes,yes,*,web based,perl
tryton,gpl,yes,yes,yes,low-market;mid-market,yes,yes,yes,yes,yes,*,yes,*,*,yes,yes,*,*,yes,yes,yes,yes,yes,yes,*,client-server;stand alone,python
turbocash,gpl,yes,yes,no,low-market;mid-market,yes,yes,yes,*,*,yes,*,*,*,*,*,*,*,yes,*,yes,*,yes,yes,*,stand alone,delphi
weberp,gpl,yes,yes,yes,low-market;mid-market,yes,yes,yes,yes,*,*,*,*,*,yes,*,*,*,*,*,*,*,*,*,*,web based,php
